ano;fracao;quadrados
2003;cfsp;31
2003;ppri;25
2003;apos;24
2003;marg;13
2003;pbpk;4
2003;bfrp;3
2009;cfsp;25
2009;ppri;34
2009;apos;26
2009;marg;7
2009;pbpk;3
2009;bfrp;3
2018;cfsp;28
2018;ppri;26
2018;apos;28
2018;marg;8
2018;pbpk;7
2018;bfrp;2
2003;mgbg;28
2003;arist;25
2003;media;25
2003;alaps;8
2003;mbpk;6
2003;aburo;5
2003;alrep;2
2009;mgbg;25
2009;arist;33
2009;media;24
2009;alaps;10
2009;mbpk;2
2009;aburo;4
2009;alrep;2
2018;mgbg;26
2018;arist;31
2018;media;19
2018;alaps;15
2018;mbpk;3
2018;aburo;4
2018;alrep;2
